section,record,question,current_evidence,options,recommended_option,reason,owner_required
PRODUCT-UOM,prod_1779104526942:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104541910:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104561166:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104571278:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104605054:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1779104619174:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1781562583964:Kg,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Kg; conversion=NO_AUTOMATIC_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved byproduct policy: preserve source UOM; no automatic conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1781656503918:Kg,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Kg; conversion=NO_AUTOMATIC_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved byproduct policy: preserve source UOM; no automatic conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1782399766159:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1782399802559:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1782977822236:Kg,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=Kg; conversion=NO_AUTOMATIC_CONVERSION; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Approved byproduct policy: preserve source UOM; no automatic conversion. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1786785535576:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
PRODUCT-UOM,prod_1786785560787:OWNER_REVIEW,Confirm Product-UOM role and approve the relationship; keep poultry CON/KG independent.,required_uom=OWNER_REVIEW; conversion=OWNER_REVIEW; target Product/UOM/tenant identity not created,BASE | SALES | PURCHASE | INVENTORY,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row. Role and approval are not source evidence.,YES
NON-INVENTORY,prod_1779104526942,Classify Thùng Xốp as inventory or non-inventory.,name=Thùng Xốp; category=Phụ; source unit=Cái,INVENTORY | NON_INVENTORY | OWNER_REVIEW,OWNER_REVIEW,Product name/category alone does not prove non-inventory behavior; owner classification is required.,YES
NON-INVENTORY,prod_1779104561166,Classify Phí Ship as inventory or non-inventory.,name=Phí Ship; category=Phụ; source unit=Chuyến,INVENTORY | NON_INVENTORY | OWNER_REVIEW,OWNER_REVIEW,"Service code proposal exists, but no complete stock/purchase exclusion proof or target approval is present.",YES
NON-INVENTORY,prod_1779104571278,Classify Đá as inventory or non-inventory.,name=Đá; category=Phụ; source unit=Bao,INVENTORY | NON_INVENTORY | OWNER_REVIEW,OWNER_REVIEW,Product name/category alone does not prove non-inventory behavior; owner classification is required.,YES
